"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"exp3-3"
"03/07/2024 02:11:00:779 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","death-ratio","mean-sugar","median-sugar","sd-sugar"
"1","20","0","color-agents-by-vision","0","0","0","1","0","0","0","0"
"2","20","0","color-agents-by-vision","20","1000","0.4857412398921833","1","0.32456140350877194","92.75","74","86.11673533793044"
"3","20","0","color-agents-by-vision","40","1000","0.4913334523384506","1","0.32689450222882616","70.025","52","63.21249775000883"
"4","20","0","color-agents-by-vision","60","1000","0.49312682797128427","1","0.3392156862745098","62.68333333333333","50.5","59.83862243119638"
"5","20","0","color-agents-by-vision","80","1000","0.5167326939115929","1","0.38195912614517263","59.95","39","59.33212675964671"
"6","20","0","color-agents-by-vision","100","1000","0.5143414471490498","1","0.4194577352472089","59.98","39","58.46504265046946"
"7","20","0","color-agents-by-vision","120","1000","0.4759467346844986","1","0.4159212880143113","60.44166666666667","49.5","53.03745241377474"
"8","20","0","color-agents-by-vision","140","1000","0.49018296973961994","1","0.4364375461936438","58","38","52.734164318124314"
"9","20","0","color-agents-by-vision","160","1000","0.5192611111111111","1","0.42931426714332144","49.21875","30.5","49.92531174809682"
"10","20","0","color-agents-by-vision","180","1000","0.4889797932574931","1","0.4284064665127021","47.53333333333333","35.5","44.56448469453435"
"11","20","0","color-agents-by-vision","200","1000","0.506692543780466","1","0.44046094750320103","55.39","34.5","52.55930271139012"
"12","20","0","color-agents-by-vision","220","1000","0.49937578123794385","1","0.44027777777777777","53.554545454545455","39","49.987137407388495"
"13","20","0","color-agents-by-vision","240","1000","0.5054361115446652","1","0.4622991347342398","53.391666666666666","30","50.358596235238906"
"14","20","0","color-agents-by-vision","260","1000","0.4956830791648244","1","0.466966966966967","47.511538461538464","28","44.55316399914176"
"15","20","0","color-agents-by-vision","280","1000","0.48988771032547607","1","0.4758454106280193","51.275","35.5","46.411662149857804"
"16","20","0","color-agents-by-vision","300","1000","0.4914504162790147","1","0.4829527179157285","46.57666666666667","33","43.172874731682484"
"17","20","0","color-agents-by-vision","320","1000","0.5078063199705032","1","0.505480052608505","46.615625","27","44.48661247233062"
"18","20","0","color-agents-by-vision","340","1000","0.5013164313992082","1","0.5256479481641468","43.26470588235294","30","41.247586019312884"
"19","20","0","color-agents-by-vision","360","1000","0.5167359778204308","1","0.5447944868323898","39.075","23","38.7366285672574"
"20","20","0","color-agents-by-vision","380","1000","0.4858388157894738","1","0.5705651930609961","39.578947368421055","29","36.632548627440784"
"21","20","0","color-agents-by-vision","400","1000","0.5020497259201256","1","0.5808357956943858","44.695","32.5","42.30379418570236"
"22","20","0","color-agents-by-vision","420","1000","0.4794560619406473","1","0.5829702970297029","41.7047619047619","28.5","37.806105960737796"
"23","20","0","color-agents-by-vision","440","1000","0.47395635330578506","1","0.5917252869307664","40","27","35.826460996267606"
"24","20","0","color-agents-by-vision","460","1000","0.48893102321020043","1","0.5836607142857143","37.58695652173913","24","34.943013730672725"
