"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"exp3-3-new"
"03/07/2024 19:47:42:501 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","death-ratio","mean-sugar","median-sugar","sd-sugar","starve-count","age-death-count"
"1","20","0","color-agents-by-vision","0","0","0","1","0","0","0","0","0","0"
"2","20","0","color-agents-by-vision","50","1000","0.50498820754717","1","0.3532796317606444","67.84","41","65.13670397004773","307","561"
"3","20","0","color-agents-by-vision","100","1000","0.5242723156532988","1","0.40716612377850164","61.84","33.5","62.595497950222935","750","1091"
"4","20","0","color-agents-by-vision","150","1000","0.47467556373676956","1","0.4232117812061711","57.946666666666665","40.5","51.46730071128263","1207","1644"
"5","20","0","color-agents-by-vision","200","1000","0.4901827103779495","1","0.43687580025608197","47.89","29","45.03865341578873","1706","2198"
"6","20","0","color-agents-by-vision","250","1000","0.5005318273497381","1","0.46487441130298274","49.58","30","47.39668112353547","2369","2726"
"7","20","0","color-agents-by-vision","300","1000","0.5320711003166889","1","0.48415857347556124","46.663333333333334","23","47.006830666616445","3041","3239"
"8","20","0","color-agents-by-vision","350","1000","0.486150489325072","1","0.5405645981688708","44.33428571428571","30","40.19008874995203","4251","3612"
"9","20","0","color-agents-by-vision","400","1000","0.503374797431127","1","0.5802378196359045","41.6525","28","39.9778352594294","5514","3988"
"10","20","0","color-agents-by-vision","450","1000","0.47642575508895074","1","0.5883318140382863","39.26444444444444","28","35.465517966226244","6454","4515"
"11","20","0","color-agents-by-vision","500","1000","0.46109742607955756","1","0.589571337172105","37.608","27.5","32.60141162710842","7372","5131"
"12","20","0","color-agents-by-vision","550","1000","0.4830251656121029","1","0.6001414927484966","35.60545454545454","23","32.6142487784305","8483","5651"
"13","20","0","color-agents-by-vision","600","1000","0.4776131284460544","1","0.5973067460831283","34.056666666666665","22","30.655555135352714","9226","6219"
"14","20","0","color-agents-by-vision","650","1000","0.4804548278861691","1","0.6047599555581545","34.283076923076926","22","31.22368016670649","10342","6758"
"15","20","0","color-agents-by-vision","700","1000","0.47955072643088287","1","0.6173520827805784","31.338571428571427","19","29.155121571279604","11634","7210"
"16","20","0","color-agents-by-vision","750","1000","0.4869941350746721","1","0.6181494133372939","29.402666666666665","19","27.171030149678707","12486","7712"
"17","20","0","color-agents-by-vision","800","1000","0.4985021724457942","1","0.6357580122434282","29.6325","17","27.842574502794793","14124","8091"
"18","20","0","color-agents-by-vision","850","1000","0.5097240958009771","1","0.6499318209991323","27.528235294117646","16","26.998142028140794","15729","8471"
"22","20","5","color-agents-by-vision","0","0","0","1","0","0","0","0","0","0"
"23","20","5","color-agents-by-vision","50","1000","0.48905785123966916","1","0.28085642317380355","72.6","54","67.0780842582367","223","570"
"19","20","0","color-agents-by-vision","900","1000","0.48696847048104586","1","0.6822593239876548","28.184444444444445","17","25.570060840182983","18348","8544"
"24","20","5","color-agents-by-vision","100","1000","0.4791510791366907","1","0.38936049801924166","69.5","49","62.23797599991227","688","1078"
