"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"exp1-3-new"
"03/07/2024 01:50:27:490 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) death-ratio","(std) death-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"25","5","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"25","5","color-agents-by-vision","20","1000","0.47617869275488545","N/A","1","N/A","0.2960224375318715","N/A","44.2","N/A","30.5","N/A","44.328224774705554","N/A"
"25","5","color-agents-by-vision","40","1000","0.4679709226989225","N/A","1","N/A","0.28448762950518025","N/A","77.2375","N/A","70.25","N/A","66.27140625733094","N/A"
"25","5","color-agents-by-vision","60","1000","0.46296474487310396","N/A","1","N/A","0.2924913217505269","N/A","63.31666666666667","N/A","47.25","N/A","53.83727927095333","N/A"
"25","5","color-agents-by-vision","80","1000","0.49903503596812293","N/A","1","N/A","0.34591874438646153","N/A","66.64375000000001","N/A","49.25","N/A","63.66163306221841","N/A"
"25","5","color-agents-by-vision","100","1000","0.5011799289737837","N/A","1","N/A","0.3806319485078994","N/A","60.365","N/A","37.25","N/A","57.97931295099781","N/A"
"25","5","color-agents-by-vision","120","1000","0.4719103368796661","N/A","1","N/A","0.3982420246038365","N/A","65.075","N/A","46","N/A","57.38308361567569","N/A"
"25","5","color-agents-by-vision","140","1000","0.4736995701409964","N/A","1","N/A","0.39883600654664486","N/A","59.24285714285715","N/A","39.75","N/A","53.18172342171816","N/A"
"25","5","color-agents-by-vision","160","1000","0.459349593046825","N/A","1","N/A","0.39415490364924854","N/A","59.90625","N/A","43.5","N/A","51.464950033278036","N/A"
"25","5","color-agents-by-vision","180","1000","0.46117688680323776","N/A","1","N/A","0.40723673244581016","N/A","60.56388888888888","N/A","40","N/A","51.91867516950918","N/A"
"25","5","color-agents-by-vision","200","1000","0.4851793899259696","N/A","1","N/A","0.4148517300615406","N/A","53.6075","N/A","33.5","N/A","50.021727299830914","N/A"
"25","5","color-agents-by-vision","220","1000","0.48345810696448277","N/A","1","N/A","0.4173546898865958","N/A","53.163636363636364","N/A","33.5","N/A","49.826792060017254","N/A"
"25","5","color-agents-by-vision","240","1000","0.49209071250761394","N/A","1","N/A","0.4204496035238189","N/A","49.10208333333334","N/A","29.75","N/A","47.0855940628562","N/A"
"25","5","color-agents-by-vision","260","1000","0.4777906057628397","N/A","1","N/A","0.4308522808152811","N/A","48.43653846153846","N/A","29.5","N/A","44.00433277794362","N/A"
"25","5","color-agents-by-vision","280","1000","0.46771903383457925","N/A","1","N/A","0.4427544913839789","N/A","46.63035714285714","N/A","29","N/A","41.705228067099696","N/A"
"25","5","color-agents-by-vision","300","1000","0.5053910246797457","N/A","1","N/A","0.45424013458223306","N/A","47.35166666666667","N/A","26","N/A","45.69929444813657","N/A"
"25","5","color-agents-by-vision","320","1000","0.49078095151209655","N/A","1","N/A","0.46982057347814044","N/A","48.2078125","N/A","30.75","N/A","45.03502850970615","N/A"
"25","5","color-agents-by-vision","340","1000","0.4937350786216614","N/A","1","N/A","0.4957144598204099","N/A","47.063235294117646","N/A","28.75","N/A","44.13866259721202","N/A"
"25","5","color-agents-by-vision","360","1000","0.48140517468910154","N/A","1","N/A","0.5104813969017634","N/A","45.12083333333334","N/A","30.75","N/A","40.89179715454034","N/A"
